time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0.0001	0.0001	0	0	0	lidar	-9.25596e+061	0	0	0	0	0	0
1477010443349642	0.13416	-0.134066	0	0	0	radar	1.353	0	0	0	0	0	0
1477010444349642	1.49295	-0.102179	1.92834	1.82124e-032	0	lidar	4.21906	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.57858	0.0201941	2.04234	-0.0332875	-0.0190039	radar	2.64597	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.87947	-0.130485	2.42946	-0.148136	-0.0930101	lidar	0.934872	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.95023	0.0722392	2.74507	0.17905	0.0852853	radar	4.39046	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.84985	0.414757	3.55476	0.165502	0.100422	lidar	0.88455	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.7634	0.440291	3.11417	0.21831	0.172459	radar	1.81895	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.07102	0.597639	3.18796	-0.32915	-0.344641	lidar	0.305102	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.03638	0.666836	3.23505	-0.234879	-0.271907	radar	1.16824	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5665	1.66029	3.04257	0.586114	0.318401	lidar	0.9026	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5413	1.62371	3.01472	0.570759	0.315144	radar	0.522627	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.595	2.32275	2.55571	0.33463	-0.0247973	lidar	0.431108	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6106	2.29083	2.68416	0.301487	-0.0648251	radar	0.641321	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.6156	2.90078	3.43501	-0.0148627	-0.226021	lidar	1.41242	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5459	2.88456	3.1002	-0.0428731	-0.280615	radar	1.1927	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0091	3.69612	2.9771	0.404039	0.181804	lidar	0.570107	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.0771	3.71992	2.8272	0.46308	0.245993	radar	1.40505	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.3219	4.73208	2.9986	0.413249	0.0541272	lidar	0.178214	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.3787	4.74192	3.04419	0.396998	0.0435268	radar	0.784707	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0633	5.568	3.38864	0.171388	-0.129224	lidar	0.382196	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.166	5.59954	3.3482	0.151453	-0.147255	radar	2.98041	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6064	6.95291	3.30807	0.653901	0.267004	lidar	0.432498	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.5932	6.9466	3.38266	0.633091	0.235892	radar	0.0650988	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.5678	8.0851	3.59768	0.23743	-0.176913	lidar	0.799733	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.5494	8.07727	3.32936	0.227257	-0.193977	radar	0.26966	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.9429	9.86946	3.33799	0.856302	0.335149	lidar	0.704829	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1477010456349642	31.8985	9.84632	3.38889	0.823731	0.290862	radar	0.671535	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
1477010457349642	34.6131	10.7175	2.55701	0.194099	-0.309085	lidar	1.48252	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
1477010457349642	34.7167	10.771	3.02955	0.200077	-0.265297	radar	2.83961	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
1477010458349642	37.1368	12.0778	3.1123	0.641909	0.189579	lidar	0.557775	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
